LISTING_NEIGHBOURHOOD,MONTH_YEAR,TOTAL_LISTINGS,ACTIVE_LISTINGS_RATE,TRUE_MIN_PRICE_ACTIVE_LISTINGS,TRUE_MAX_PRICE_ACTIVE_LISTINGS,TRUE_AVG_PRICE_ACTIVE_LISTINGS,TRUE_MEDIAN_PRICE_ACTIVE_LISTINGS,TOTAL_DISTINCT_HOSTS,TOTAL_SUPERHOST_COUNT,TRUE_AVG_REVIEW_SCORE_RATING,PERCENTAGE_CHANGE_ACTIVE,PERCENTAGE_CHANGE_INACTIVE,TOTAL_NUMBER_OF_STAYS,AVG_REV
cumberland,09_2020,479,100.000000,15,15000,118.607990,99.000,360,72,88.415890,13%,,9272,3934.425887
cumberland,10_2020,468,100.000000,15,15000,117.143034,99.000,354,69,89.323249,-2%,,9398,4101.440171
cumberland,11_2020,469,100.000000,15,15000,104.831520,97.000,358,71,90.385470,0%,,8783,3909.452026
cumberland,12_2020,469,100.000000,15,15000,118.744220,107.000,359,65,79.363454,0%,,9843,4254.437100
fairfield,01_2021,83,100.000000,15,840,113.819196,20.000,54,10,92.039522,,,1589,1874.421687
fairfield,02_2021,86,98.837209,20,840,119.329878,37.000,56,11,92.067141,2%,,1284,1249.395349
fairfield,03_2021,88,98.863636,17,840,135.860951,27.000,57,11,93.888905,2%,0%,1444,1503.875000
fairfield,04_2021,93,98.924731,20,840,171.317969,36.000,60,11,91.007934,6%,0%,1357,1341.010753
fairfield,05_2020,96,100.000000,20,501,72.824884,58.000,56,11,82.068550,4%,-100%,1162,1127.552083
fairfield,06_2020,98,100.000000,20,501,72.472973,57.000,57,11,81.526405,2%,,1355,1219.938776
fairfield,07_2020,103,100.000000,20,2164,1073.879108,210.000,57,11,82.004015,5%,,1426,1366.524272
fairfield,08_2020,89,100.000000,20,840,51.748541,31.000,53,10,81.631930,-14%,,1176,903.483146
fairfield,09_2020,92,100.000000,20,840,53.560830,31.000,54,10,81.764404,3%,,1251,962.967391
fairfield,10_2020,85,100.000000,20,840,54.157936,34.000,49,10,83.623274,-8%,,1349,1239.847059
fairfield,11_2020,82,100.000000,20,840,38.799118,27.000,52,11,91.796416,-4%,,1224,1146.743902
fairfield,12_2020,85,100.000000,20,1429,44.896455,21.000,56,11,91.062869,4%,,1433,1778.164706
georges river,01_2021,397,100.000000,21,1807,136.831111,99.000,291,49,90.184638,,,8192,2137.277078
georges river,02_2021,394,99.746193,21,1750,127.809817,88.000,289,49,90.057440,-1%,,7445,1876.723350
georges river,03_2021,390,99.743590,21,1750,129.084772,80.000,291,47,89.716360,-1%,0%,7651,1943.069231
georges river,04_2021,377,98.143236,21,1750,129.625150,79.000,284,44,89.566816,-5%,600%,6967,1850.066313
georges river,05_2020,416,100.000000,0,3500,160.883921,139.000,312,49,90.607670,12%,-100%,7353,1955.209135
